init_strategy,profile,seed,generation,best_duration_s
baseline,standard,20250841,536,10.86328735351565
baseline,standard,20250841,537,10.86328735351565
baseline,standard,20250841,538,10.86328735351565
baseline,standard,20250841,539,10.864233398437516
baseline,standard,20250841,540,10.864233398437516
baseline,standard,20250841,541,10.864459228515647
baseline,standard,20250841,542,10.86705627441409
baseline,standard,20250841,543,10.867999267578131
baseline,standard,20250841,544,10.867999267578131
baseline,standard,20250841,545,10.868408203125028
baseline,standard,20250841,546,10.87281494140628
baseline,standard,20250841,547,10.873596191406287
baseline,standard,20250841,548,10.877429199218762
baseline,standard,20250841,549,10.880010986328141
baseline,standard,20250841,550,10.880401611328146
baseline,standard,20250841,551,10.880859375000018
baseline,standard,20250841,552,10.880859375000018
baseline,standard,20250841,553,10.880859375000018
baseline,standard,20250841,554,10.881604003906265
baseline,standard,20250841,555,10.881604003906265
baseline,standard,20250841,556,10.881604003906265
baseline,standard,20250841,557,10.881604003906265
baseline,standard,20250841,558,10.881604003906265
baseline,standard,20250841,559,10.881604003906265
baseline,standard,20250841,560,10.883105468750026
baseline,standard,20250841,561,10.883599853515648
baseline,standard,20250841,562,10.884985351562516
baseline,standard,20250841,563,10.884985351562516
baseline,standard,20250841,564,10.884985351562516
baseline,standard,20250841,565,10.884985351562516
baseline,standard,20250841,566,10.884985351562516
baseline,standard,20250841,567,10.884985351562516
baseline,standard,20250841,568,10.885699462890651
baseline,standard,20250841,569,10.890313720703126
baseline,standard,20250841,570,10.898876953125015
baseline,standard,20250841,571,10.898876953125015
baseline,standard,20250841,572,10.898876953125015
baseline,standard,20250841,573,10.898876953125015
baseline,standard,20250841,574,10.907580566406278
baseline,standard,20250841,575,10.916015625000021
baseline,standard,20250841,576,10.916015625000021
baseline,standard,20250841,577,10.916015625000021
baseline,standard,20250841,578,10.918945312500027
baseline,standard,20250841,579,10.928790283203139
baseline,standard,20250841,580,10.931958007812504
baseline,standard,20250841,581,10.936572265625031
baseline,standard,20250841,582,10.936572265625031
baseline,standard,20250841,583,10.936572265625031
baseline,standard,20250841,584,10.936572265625031
baseline,standard,20250841,585,10.936572265625031
baseline,standard,20250841,586,10.947082519531246
baseline,standard,20250841,587,10.94776611328126
baseline,standard,20250841,588,10.952575683593771
baseline,standard,20250841,589,10.952575683593771
baseline,standard,20250841,590,10.95933227539065
baseline,standard,20250841,591,10.95933227539065
baseline,standard,20250841,592,10.971917724609394
baseline,standard,20250841,593,10.990747070312521
baseline,standard,20250841,594,10.994665527343765
baseline,standard,20250841,595,11.010064697265634
baseline,standard,20250841,596,11.012829589843767
baseline,standard,20250841,597,11.015875244140641
baseline,standard,20250841,598,11.01852416992189
baseline,standard,20250841,599,11.021496582031261
baseline,standard,20250841,600,11.021496582031261
baseline,standard,20250841,601,11.030206298828134
baseline,standard,20250841,602,11.034899902343774
baseline,standard,20250841,603,11.034899902343774
baseline,standard,20250841,604,11.03624267578127
baseline,standard,20250841,605,11.03624267578127
baseline,standard,20250841,606,11.03624267578127
baseline,standard,20250841,607,11.036822509765654
baseline,standard,20250841,608,11.037530517578155
baseline,standard,20250841,609,11.037530517578155
baseline,standard,20250841,610,11.037921142578142
baseline,standard,20250841,611,11.044573974609406
baseline,standard,20250841,612,11.046069335937528
baseline,standard,20250841,613,11.04838256835939
baseline,standard,20250841,614,11.04838256835939
baseline,standard,20250841,615,11.050012207031262
baseline,standard,20250841,616,11.05497436523439
baseline,standard,20250841,617,11.05531005859378
baseline,standard,20250841,618,11.05531005859378
baseline,standard,20250841,619,11.05531005859378
baseline,standard,20250841,620,11.05531005859378
baseline,standard,20250841,621,11.05531005859378
baseline,standard,20250841,622,11.05531005859378
baseline,standard,20250841,623,11.05531005859378
baseline,standard,20250841,624,11.05531005859378
baseline,standard,20250841,625,11.056933593750003
baseline,standard,20250841,626,11.056933593750003
baseline,standard,20250841,627,11.061218261718775
baseline,standard,20250841,628,11.061218261718775
baseline,standard,20250841,629,11.061218261718775
baseline,standard,20250841,630,11.061218261718775
baseline,standard,20250841,631,11.061218261718775
baseline,standard,20250841,632,11.061218261718775
baseline,standard,20250841,633,11.062628173828136
baseline,standard,20250841,634,11.066076660156257
baseline,standard,20250841,635,11.070190429687507
baseline,standard,20250841,636,11.0865905761719
baseline,standard,20250841,637,11.0865905761719
baseline,standard,20250841,638,11.092474365234382
baseline,standard,20250841,639,11.092474365234382
baseline,standard,20250841,640,11.092474365234382
baseline,standard,20250841,641,11.092474365234382
baseline,standard,20250841,642,11.093395996093767
baseline,standard,20250841,643,11.093395996093767
baseline,standard,20250841,644,11.093395996093767
baseline,standard,20250841,645,11.093395996093767
baseline,standard,20250841,646,11.093395996093767
baseline,standard,20250841,647,11.093518066406276
baseline,standard,20250841,648,11.093518066406276
baseline,standard,20250841,649,11.093518066406276
baseline,standard,20250841,650,11.093518066406276
baseline,standard,20250841,651,11.0940124511719
baseline,standard,20250841,652,11.0940124511719
baseline,standard,20250841,653,11.09849243164064
baseline,standard,20250841,654,11.09849243164064
baseline,standard,20250841,655,11.100750732421897
baseline,standard,20250841,656,11.100750732421897
baseline,standard,20250841,657,11.101589965820335
baseline,standard,20250841,658,11.101589965820335
baseline,standard,20250841,659,11.10324707031253
baseline,standard,20250841,660,11.107934570312544
