profile,seed,stage,generation,best_score
standard,20250953,point,118,49.04882234774554
standard,20250953,point,119,49.05045927351957
standard,20250953,point,120,49.05045927351957
standard,20250953,point,121,49.05045927351957
standard,20250953,point,122,49.05045927351957
standard,20250953,point,123,49.05611658181931
standard,20250953,point,124,49.05611658181931
standard,20250953,point,125,49.05884143254841
standard,20250953,point,126,49.05884143254841
standard,20250953,point,127,49.05884143254841
standard,20250953,point,128,49.05884143254841
standard,20250953,point,129,49.05946630313658
standard,20250953,point,130,49.05946630313658
standard,20250953,point,131,49.05946630313658
standard,20250953,point,132,49.060247438161895
standard,20250953,point,133,49.060247438161895
standard,20250953,point,134,49.060247438161895
standard,20250953,point,135,49.06196758871199
standard,20250953,point,136,49.06196758871199
standard,20250953,point,137,49.06196758871199
standard,20250953,point,138,49.06196758871199
standard,20250953,point,139,49.06196758871199
standard,20250953,point,140,49.06246032584111
standard,20250953,surface,1,27.156490088752264
standard,20250953,surface,2,27.175659434066603
standard,20250953,surface,3,27.19956515984154
standard,20250953,surface,4,27.214563533326743
standard,20250953,surface,5,27.223098674214153
standard,20250953,surface,6,27.23270935064226
standard,20250953,surface,7,27.23752882509893
standard,20250953,surface,8,27.238973080372322
standard,20250953,surface,9,27.2415055661677
standard,20250953,surface,10,27.242500839125242
standard,20250953,surface,11,27.242500839125242
standard,20250953,surface,12,27.244368066541536
standard,20250953,surface,13,30.11469665628648
standard,20250953,surface,14,30.11469665628648
standard,20250953,surface,15,30.11469665628648
standard,20250953,surface,16,30.11469665628648
standard,20250953,surface,17,30.11469665628648
standard,20250953,surface,18,30.11469665628648
standard,20250953,surface,19,30.11469665628648
standard,20250953,surface,20,30.11469665628648
standard,20250953,surface,21,30.11469665628648
standard,20250953,surface,22,30.11469665628648
standard,20250953,surface,23,30.11469665628648
standard,20250953,surface,24,30.11469665628648
standard,20250953,surface,25,30.11469665628648
standard,20250953,surface,26,30.11469665628648
standard,20250953,surface,27,30.11469665628648
standard,20250953,surface,28,30.11469665628648
standard,20250953,surface,29,30.11469665628648
standard,20250953,surface,30,30.11469665628648
standard,20250953,surface,31,30.11469665628648
standard,20250953,surface,32,30.11469665628648
standard,20250953,surface,33,30.11469665628648
standard,20250953,surface,34,30.11469665628648
