profile,region_index,seed,generation,best_duration_s
standard,4,20250903,44,4.5868614997
standard,4,20250903,45,4.5868614997
standard,4,20250903,46,4.5868614997
standard,4,20250903,47,4.5868614997
standard,4,20250903,48,4.5868614997
standard,4,20250903,49,4.5868614997
standard,4,20250903,50,4.5868614997
standard,4,20250903,51,4.5869411299
standard,4,20250903,52,4.5869411299
standard,4,20250903,53,4.5869411299
standard,4,20250903,54,4.5870655644
standard,4,20250903,55,4.5874708221
standard,4,20250903,56,4.5874708221
standard,4,20250903,57,4.5874708221
standard,4,20250903,58,4.5874708221
standard,4,20250903,59,4.5874875655
standard,4,20250903,60,4.5874875655
standard,4,20250903,61,4.5874875655
standard,4,20250903,62,4.5874875655
standard,4,20250903,63,4.5875084546
standard,4,20250903,64,4.5875726445
standard,4,20250903,65,4.5876297746
standard,4,20250903,66,4.5876297746
standard,4,20250903,67,4.5877350676
standard,4,20250903,68,4.5877350676
standard,4,20250903,69,4.5877640803
standard,4,20250903,70,4.5877640803
standard,4,20250903,71,4.5877640803
standard,4,20250903,72,4.5877640803
standard,4,20250903,73,4.5877640803
standard,4,20250903,74,4.5878118072
standard,4,20250903,75,4.5878118072
standard,4,20250903,76,4.5878118072
standard,4,20250903,77,4.5878118072
standard,4,20250903,78,4.5878118072
standard,4,20250903,79,4.5878344777
standard,4,20250903,80,4.5878551266
standard,4,20250903,81,4.5878844201
standard,4,20250903,82,4.5878844201
standard,4,20250903,83,4.5878844201
standard,4,20250903,84,4.5878844201
standard,4,20250903,85,4.5878910976
standard,4,20250903,86,4.5878910976
standard,4,20250903,87,4.5878910976
standard,4,20250903,88,4.5878910976
standard,4,20250903,89,4.5878910976
standard,4,20250903,90,4.5878910976
standard,4,20250903,91,4.5878910976
standard,4,20250903,92,4.5879041803
standard,4,20250903,93,4.5879041803
standard,4,20250903,94,4.5879041803
standard,4,20250903,95,4.5879041803
standard,4,20250903,96,4.5879041803
standard,4,20250903,97,4.5879565563
standard,4,20250903,98,4.5879565563
standard,4,20250903,99,4.5879565563
standard,4,20250903,100,4.5879565563
standard,4,20250903,101,4.5879662550
standard,4,20250903,102,4.5879662550
standard,4,20250903,103,4.5879662550
standard,4,20250903,104,4.5879662550
standard,4,20250903,105,4.5879984559
standard,4,20250903,106,4.5879984559
standard,4,20250903,107,4.5879984559
standard,4,20250903,108,4.5880034165
standard,4,20250903,109,4.5880034165
standard,4,20250903,110,4.5880034165
standard,4,20250903,111,4.5880034165
standard,4,20250903,112,4.5880034165
standard,4,20250903,113,4.5880034165
standard,4,20250903,114,4.5880034165
standard,4,20250903,115,4.5880034165
standard,4,20250903,116,4.5880036584
standard,4,20250903,117,4.5880036584
standard,4,20250903,118,4.5880036584
standard,4,20250903,119,4.5880036584
standard,4,20250903,120,4.5880036584
standard,4,20250903,121,4.5880073405
standard,4,20250903,122,4.5880078738
standard,4,20250903,123,4.5880078738
standard,4,20250903,124,4.5880152233
standard,4,20250903,125,4.5880280805
standard,5,20250904,1,4.5703959065
standard,5,20250904,2,4.5703959065
standard,5,20250904,3,4.5750485126
standard,5,20250904,4,4.5750485126
standard,5,20250904,5,4.5750485126
standard,5,20250904,6,4.5764100573
standard,5,20250904,7,4.5764100573
standard,5,20250904,8,4.5764100573
standard,5,20250904,9,4.5764100573
standard,5,20250904,10,4.5779411213
standard,5,20250904,11,4.5779411213
standard,5,20250904,12,4.5779411213
standard,5,20250904,13,4.5779411213
standard,5,20250904,14,4.5779411213
standard,5,20250904,15,4.5842401866
standard,5,20250904,16,4.5842401866
standard,5,20250904,17,4.5842401866
standard,5,20250904,18,4.5842401866
standard,5,20250904,19,4.5842401866
standard,5,20250904,20,4.5842401866
standard,5,20250904,21,4.5842401866
standard,5,20250904,22,4.5847515528
standard,5,20250904,23,4.5851481764
standard,5,20250904,24,4.5851481764
standard,5,20250904,25,4.5856063050
standard,5,20250904,26,4.5862845719
standard,5,20250904,27,4.5862845719
standard,5,20250904,28,4.5862845719
standard,5,20250904,29,4.5866883776
standard,5,20250904,30,4.5866883776
standard,5,20250904,31,4.5866883776
standard,5,20250904,32,4.5869781991
standard,5,20250904,33,4.5869781991
standard,5,20250904,34,4.5869781991
standard,5,20250904,35,4.5869781991
standard,5,20250904,36,4.5876465806
standard,5,20250904,37,4.5876465806
standard,5,20250904,38,4.5876465806
standard,5,20250904,39,4.5876465806
standard,5,20250904,40,4.5876465806
standard,5,20250904,41,4.5876465806
standard,5,20250904,42,4.5876465806
standard,5,20250904,43,4.5876465806
standard,5,20250904,44,4.5876465806
standard,5,20250904,45,4.5876465806
standard,5,20250904,46,4.5876465806
standard,5,20250904,47,4.5876465806
standard,5,20250904,48,4.5876465806
standard,5,20250904,49,4.5876465806
standard,5,20250904,50,4.5876465806
standard,5,20250904,51,4.5876732862
standard,5,20250904,52,4.5878209007
standard,5,20250904,53,4.5879494503
standard,5,20250904,54,4.5879494503
standard,5,20250904,55,4.5879494503
standard,5,20250904,56,4.5879494503
standard,5,20250904,57,4.5879494503
standard,5,20250904,58,4.5879494503
standard,5,20250904,59,4.5879494503
standard,5,20250904,60,4.5879494503
standard,5,20250904,61,4.5879494503
standard,5,20250904,62,4.5879494503
standard,5,20250904,63,4.5879494503
standard,5,20250904,64,4.5879494503
standard,5,20250904,65,4.5879494503
standard,5,20250904,66,4.5879494503
standard,5,20250904,67,4.5879494503
standard,5,20250904,68,4.5879494503
standard,5,20250904,69,4.5879674282
standard,5,20250904,70,4.5879674282
standard,5,20250904,71,4.5879674282
standard,5,20250904,72,4.5879674282
standard,5,20250904,73,4.5879674282
standard,5,20250904,74,4.5879674282
standard,5,20250904,75,4.5879674282
standard,5,20250904,76,4.5879746471
standard,5,20250904,77,4.5879793939
standard,5,20250904,78,4.5879793939
standard,5,20250904,79,4.5879793939
standard,5,20250904,80,4.5879793939
standard,5,20250904,81,4.5879793939
standard,5,20250904,82,4.5879793939
standard,5,20250904,83,4.5879875571
standard,5,20250904,84,4.5879875571
standard,5,20250904,85,4.5879976453
standard,5,20250904,86,4.5879976453
standard,5,20250904,87,4.5879976453
standard,5,20250904,88,4.5879976453
standard,5,20250904,89,4.5879978921
standard,5,20250904,90,4.5879978921
standard,5,20250904,91,4.5879978921
standard,5,20250904,92,4.5879978921
standard,5,20250904,93,4.5879988139
standard,5,20250904,94,4.5880122799
standard,5,20250904,95,4.5880122799
standard,5,20250904,96,4.5880164074
standard,5,20250904,97,4.5880164074
standard,5,20250904,98,4.5880164074
standard,5,20250904,99,4.5880174944
standard,5,20250904,100,4.5880174944
standard,5,20250904,101,4.5880174944
standard,5,20250904,102,4.5880174944
standard,5,20250904,103,4.5880174944
standard,5,20250904,104,4.5880284883
standard,5,20250904,105,4.5880284883
standard,6,20250905,1,4.5554733939
standard,6,20250905,2,4.5554733939
standard,6,20250905,3,4.5554733939
standard,6,20250905,4,4.5591007611
standard,6,20250905,5,4.5591007611
standard,6,20250905,6,4.5591007611
standard,6,20250905,7,4.5591007611
standard,6,20250905,8,4.5742914073
standard,6,20250905,9,4.5773059981
standard,6,20250905,10,4.5773059981
standard,6,20250905,11,4.5773059981
standard,6,20250905,12,4.5773059981
standard,6,20250905,13,4.5773059981
standard,6,20250905,14,4.5778305173
standard,6,20250905,15,4.5778305173
standard,6,20250905,16,4.5778305173
standard,6,20250905,17,4.5790820673
standard,6,20250905,18,4.5790820673
standard,6,20250905,19,4.5831123539
standard,6,20250905,20,4.5848690011
standard,6,20250905,21,4.5848690011
standard,6,20250905,22,4.5848690011
standard,6,20250905,23,4.5848690011
