state,time_s,mode,max_distance_m,margin_m,closest_projection,cloud_x_m,cloud_y_m,cloud_z_m,missile_x_m,missile_y_m,missile_z_m,worst_target_x_m,worst_target_y_m,worst_target_z_m,closest_x_m,closest_y_m,closest_z_m
margin_curve,2.1836215416,surface,4.5248684014,5.4751315986,0.0740535474,17915.0812113910,11.9462557783,1794.5257941072,19348.1646070293,0.0000000000,1934.8164607029,0.7013164313,206.9647796278,0.0000000000,17915.4163169028,15.3264761211,1791.5364381933
margin_curve,2.2336215416,surface,4.3152326822,5.6847673178,0.0733395247,17915.0812113910,11.9462557783,1794.3757941072,19333.2390491762,0.0000000000,1933.3239049176,0.7013164313,206.9647796278,0.0000000000,17915.3999212036,15.1786985612,1791.5348486990
margin_curve,2.2836215416,surface,4.1054713504,5.8945286496,0.0726242856,17915.0812113910,11.9462557783,1794.2257941072,19318.3134913230,0.0000000000,1931.8313491323,0.6709202676,206.9677733886,0.0000000000,17915.3835008985,15.0308866763,1791.5334775793
margin_curve,2.3336215416,surface,3.8955890562,6.1044109438,0.0719080551,17915.0812113910,11.9462557783,1794.0757941072,19303.3879334699,0.0000000000,1930.3387933470,0.6709202676,206.9677733886,0.0000000000,17915.3670957660,14.8826500435,1791.5318851194
margin_curve,2.3836215416,surface,3.6855921644,6.3144078356,0.0711907163,17915.0812113910,11.9462557783,1793.9257941072,19288.4623756167,0.0000000000,1928.8462375617,0.6709202676,206.9677733886,0.0000000000,17915.3506857920,14.7341840415,1791.5302922498
margin_curve,2.4336215416,surface,3.4754889083,6.5245110917,0.0704722668,17915.0812113910,11.9462557783,1793.7757941072,19273.5368177636,0.0000000000,1927.3536817764,0.6709202676,206.9677733886,0.0000000000,17915.3342709598,14.5854881375,1791.5286989688
margin_curve,2.4836215416,surface,3.2652897736,6.7347102264,0.0697527038,17915.0812113910,11.9462557783,1793.6257941072,19258.6112599104,0.0000000000,1925.8611259910,0.6709202676,206.9677733886,0.0000000000,17915.3178512522,14.4365617971,1791.5271052749
margin_curve,2.5336215416,surface,3.0550083289,6.9449916711,0.0690319168,17915.0812113910,11.9462557783,1793.4757941072,19243.6857020572,0.0000000000,1924.3685702057,0.6405113306,206.9706344930,0.0000000000,17915.3014077320,14.2875796176,1791.5257192007
margin_curve,2.5836215416,surface,2.8446638801,7.1553361199,0.0683101203,17915.0812113910,11.9462557783,1793.3257941072,19228.7601442041,0.0000000000,1922.8760144204,0.6405113306,206.9706344930,0.0000000000,17915.2849784254,14.1381889463,1791.5241225019
margin_curve,2.6336215416,surface,2.6342784606,7.3657215394,0.0675872027,17915.0812113910,11.9462557783,1793.1757941072,19213.8345863509,0.0000000000,1921.3834586351,0.6405113306,206.9706344930,0.0000000000,17915.2685441924,13.9885662232,1791.5225253823
margin_curve,2.6836215416,surface,2.4238839754,7.5761160246,0.0668631612,17915.0812113910,11.9462557783,1793.0257941072,19198.9090284978,0.0000000000,1919.8909028498,0.6405113306,206.9706344930,0.0000000000,17915.2521050157,13.8387109070,1791.5209278403
margin_curve,2.7336215416,surface,2.2135263451,7.7864736549,0.0661378895,17915.0812113910,11.9462557783,1792.8757941072,19183.9834706446,0.0000000000,1918.3983470645,0.6100901992,206.9733628866,0.0000000000,17915.2356426567,13.6887813945,1791.5195292579
margin_curve,2.7836215416,surface,2.0032684172,7.9967315828,0.0654115936,17915.0812113910,11.9462557783,1792.7257941072,19169.0579127915,0.0000000000,1916.9057912791,0.6100901992,206.9733628866,0.0000000000,17915.2191937465,13.5384575006,1791.5179286774
margin_curve,2.8336215416,surface,1.7932039101,8.2067960899,0.0646840642,17915.0812113910,11.9462557783,1792.5757941072,19154.1323549384,0.0000000000,1915.4132354938,0.5796574526,206.9759585175,0.0000000000,17915.2027219223,13.3880461959,1791.5165227322
margin_curve,2.8836215416,surface,1.5834770154,8.4165229846,0.0639555034,17915.0812113910,11.9462557783,1792.4257941072,19139.2067970852,0.0000000000,1913.9206797085,0.5796574526,206.9759585175,0.0000000000,17915.1862632119,13.2372516270,1791.5149190928
margin_curve,2.9336215416,surface,1.3743211490,8.6256788510,0.0632257059,17915.0812113910,11.9462557783,1792.2757941072,19124.2812392321,0.0000000000,1912.4281239232,0.5492136701,206.9784213361,0.0000000000,17915.1697818652,13.0863568016,1791.5135057443
margin_curve,2.9836215416,surface,1.1661352618,8.8338647382,0.0624947709,17915.0812113910,11.9462557783,1792.1257941072,19109.3556813789,0.0000000000,1910.9355681379,0.5187594314,206.9807512957,0.0000000000,17915.1532957904,12.9352146328,1791.5120876039
margin_curve,3.0336215416,surface,0.9596678281,9.0403321719,0.0617625980,17915.0812113910,11.9462557783,1791.9757941072,19094.4301235258,0.0000000000,1909.4430123526,0.4578219046,206.9850124627,0.0000000000,17915.1367874945,12.7839321226,1791.5108511224
margin_curve,3.0836215416,surface,0.7564789836,9.2435210164,0.0610292844,17915.0812113910,11.9462557783,1791.8257941072,19079.5045656726,0.0000000000,1907.9504565673,0.3968495129,206.9887416939,0.0000000000,17915.1202745951,12.6323747863,1791.5096055153
margin_curve,3.1336215416,surface,0.6893321671,9.3106678329,0.0602953665,17915.0812113910,11.9462557783,1791.6757941072,19064.5790078195,0.0000000000,1906.4579007819,-0.4882953162,206.9829483518,10.0000000000,17915.0437880459,12.4801127234,1792.1102766638
margin_curve,3.1591855898,surface,0.6832749150,9.3167250850,0.0599188394,17915.0812113910,11.9462557783,1791.5991019626,19056.9478542101,0.0000000000,1905.6947854210,-0.7013164313,206.9647796278,10.0000000000,17915.0356340003,12.4010893943,1792.1069540008
margin_curve,3.1836215416,surface,0.7331287682,9.2668712318,0.0595588890,17915.0812113910,11.9462557783,1791.5257941072,19049.6534499663,0.0000000000,1904.9653449966,-0.9742117067,193.0681235188,10.0000000000,17915.0192319830,11.4989229351,1792.1033143848
margin_curve,3.2336215416,surface,0.9326687609,9.0673312391,0.0588225040,17915.0812113910,11.9462557783,1791.3757941072,19034.7278921132,0.0000000000,1903.4727892113,-0.9136833455,193.0598859704,10.0000000000,17915.0037899878,11.3562659088,1792.0939785527
margin_curve,3.2836215416,surface,1.1328197219,8.8671802781,0.0580848672,17915.0812113910,11.9462557783,1791.2257941072,19019.8023342600,0.0000000000,1901.9802334260,-0.8833927840,193.0559653522,10.0000000000,17914.9883291419,11.2136301158,1792.0848127618
margin_curve,3.3336215416,surface,1.3333719936,8.6666280064,0.0573460698,17915.0812113910,11.9462557783,1791.0757941072,19004.8767764069,0.0000000000,1900.4876776407,-0.8530854038,193.0521769385,10.0000000000,17914.9728647604,11.0707836177,1792.0756392838
margin_curve,3.3836215416,surface,1.5342267252,8.4657732748,0.0566060194,17915.0812113910,11.9462557783,1790.9257941072,18989.9512185537,0.0000000000,1898.9951218554,-0.8530854038,193.0521769385,10.0000000000,17914.9573819171,10.9279152708,1792.0666273625
margin_curve,3.4336215416,surface,1.7353311688,8.2646688312,0.0558648934,17915.0812113910,11.9462557783,1790.7757941072,18975.0256607006,0.0000000000,1897.5025660701,-0.8227617822,193.0485208013,10.0000000000,17914.9419105227,10.7846350446,1792.0574363367
margin_curve,3.4836215416,surface,1.9366553702,8.0633446298,0.0551225111,17915.0812113910,11.9462557783,1790.6257941072,18960.1001028474,0.0000000000,1896.0100102847,-0.8227617822,193.0485208013,10.0000000000,17914.9264209458,10.6413192392,1792.0484024756
margin_curve,3.5336215416,surface,2.1381797404,7.8618202596,0.0543789593,17915.0812113910,11.9462557783,1790.4757941072,18945.1745449943,0.0000000000,1894.5174544994,-0.8227617822,193.0485208013,10.0000000000,17914.9109280792,10.4977776604,1792.0393564941
margin_curve,3.5836215416,surface,2.3398923290,7.6601076710,0.0536342352,17915.0812113910,11.9462557783,1790.3257941072,18930.2489871411,0.0000000000,1893.0248987141,-0.8227617822,193.0485208013,10.0000000000,17914.8954319097,10.3540097744,1792.0302983631
margin_curve,3.6336215416,surface,2.5417853614,7.4582146386,0.0528884202,17915.0812113910,11.9462557783,1790.1757941072,18915.3234292880,0.0000000000,1891.5323429288,-0.7924224964,193.0449970103,10.0000000000,17914.8799464254,10.2098449106,1792.0210698415
margin_curve,3.6836215416,surface,2.7438535009,7.2561464991,0.0521413420,17915.0812113910,11.9462557783,1790.0257941072,18900.3978714348,0.0000000000,1890.0397871435,-0.7924224964,193.0449970103,10.0000000000,17914.8644434133,10.0656252176,1792.0119895589
margin_curve,3.7336215416,surface,2.9460923022,7.0539076978,0.0513930833,17915.0812113910,11.9462557783,1789.8757941072,18885.4723135817,0.0000000000,1888.5472313582,-0.7924224964,193.0449970103,10.0000000000,17914.8489370583,9.9211776091,1792.0028970422
margin_curve,3.7836215416,surface,3.1484990070,6.8515009930,0.0506436411,17915.0812113910,11.9462557783,1789.7257941072,18870.5467557285,0.0000000000,1887.0546755729,-0.7924224964,193.0449970103,10.0000000000,17914.8334273469,9.7765015444,1791.9937922617
margin_curve,3.8336215416,surface,3.3510716344,6.6489283656,0.0498930127,17915.0812113910,11.9462557783,1789.5757941072,18855.6211978754,0.0000000000,1885.5621197875,-0.7924224964,193.0449970103,10.0000000000,17914.8179142655,9.6315964811,1791.9846751878
margin_curve,3.8836215416,surface,3.5538087612,6.4461912388,0.0491411952,17915.0812113910,11.9462557783,1789.4257941072,18840.6956400222,0.0000000000,1884.0695640022,-0.7924224964,193.0449970103,10.0000000000,17914.8023978007,9.4864618752,1791.9755457907
margin_curve,3.9336215416,surface,3.7567093729,6.2432906271,0.0483881858,17915.0812113910,11.9462557783,1789.2757941072,18825.7700821691,0.0000000000,1882.5770082169,-0.7924224964,193.0449970103,10.0000000000,17914.7868779389,9.3410971808,1791.9664040405
margin_curve,3.9836215416,surface,3.9597727597,6.0402272403,0.0476339817,17915.0812113910,11.9462557783,1789.1257941072,18810.8445243159,0.0000000000,1881.0844524316,-0.7924224964,193.0449970103,10.0000000000,17914.7713546664,9.1955018505,1791.9572499073
margin_curve,4.0336215416,surface,4.1629984439,5.8370015561,0.0468785800,17915.0812113910,11.9462557783,1788.9757941072,18795.9189664628,0.0000000000,1879.5918966463,-0.7924224964,193.0449970103,10.0000000000,17914.7558279694,9.0496753350,1791.9480833610
margin_curve,4.0836215416,surface,4.3663861259,5.6336138741,0.0461219779,17915.0812113910,11.9462557783,1788.8257941072,18780.9934086096,0.0000000000,1878.0993408610,-0.7924224964,193.0449970103,10.0000000000,17914.7402978342,8.9036170832,1791.9389043716
margin_curve,4.1336215416,surface,4.5699356455,5.4300643545,0.0453641725,17915.0812113910,11.9462557783,1788.6757941072,18766.0678507565,0.0000000000,1876.6067850756,-0.7924224964,193.0449970103,10.0000000000,17914.7247642469,8.7573265425,1791.9297129087
margin_curve,4.1836215416,surface,4.7736471480,5.2263528520,0.0446052325,17915.0812113910,11.9462557783,1788.5257941072,18751.1422929033,0.0000000000,1875.1142292903,-0.7620681240,193.0416056324,10.0000000000,17914.7092390568,8.6106657015,1791.9203754533
margin_curve,4.2336215416,surface,4.9775204998,5.0224795002,0.0438450107,17915.0812113910,11.9462557783,1788.3757941072,18736.2167350502,0.0000000000,1873.6216735050,-0.7620681240,193.0416056324,10.0000000000,17914.6936983217,8.4639112709,1791.9111612280
margin_curve,4.2836215416,surface,5.1815557692,4.8184442308,0.0430835770,17915.0812113910,11.9462557783,1788.2257941072,18721.2911771970,0.0000000000,1872.1291177197,-0.7620681240,193.0416056324,10.0000000000,17914.6781540923,8.3169228857,1791.9019344416
margin_curve,4.3336215416,surface,5.3857531262,4.6142468738,0.0423209285,17915.0812113910,11.9462557783,1788.0757941072,18706.3656193439,0.0000000000,1870.6365619344,-0.7620681240,193.0416056324,10.0000000000,17914.6626063546,8.1696999863,1791.8926950634
margin_curve,4.3836215416,surface,5.5901127888,4.4098872112,0.0415570622,17915.0812113910,11.9462557783,1787.9257941072,18691.4400614907,0.0000000000,1869.1440061491,-0.7620681240,193.0416056324,10.0000000000,17914.6470550944,8.0222420108,1791.8834430626
margin_curve,4.4336215416,surface,5.7946350149,4.2053649851,0.0407919752,17915.0812113910,11.9462557783,1787.7757941072,18676.5145036376,0.0000000000,1867.6514503638,-0.7620681240,193.0416056324,10.0000000000,17914.6315002974,7.8745483959,1791.8741784085
margin_curve,4.4836215416,surface,5.9993200957,4.0006799043,0.0400256647,17915.0812113910,11.9462557783,1787.6257941072,18661.5889457844,0.0000000000,1866.1588945784,-0.7620681240,193.0416056324,10.0000000000,17914.6159419494,7.7266185765,1791.8649010701
margin_curve,4.5336215416,surface,6.2041683507,3.7958316493,0.0392581276,17915.0812113910,11.9462557783,1787.4757941072,18646.6633879313,0.0000000000,1864.6663387931,-0.7620681240,193.0416056324,10.0000000000,17914.6003800360,7.5784519853,1791.8556110163
